filename,severity,issue,status
standing/trikonasana-01.png,medium,与02方向过于接近，需对照原图核对左右侧,pending-review
standing/trikonasana-02.png,medium,与01方向过于接近，需对照原图核对左右侧,pending-review
standing/utthita-hasta-padangusthasana-01.png,medium,与02形态接近，需核对组内三个阶段,pending-review
standing/utthita-hasta-padangusthasana-02.png,medium,与01形态接近，需核对组内三个阶段,pending-review
seated/marichyasana-b.png,high,手臂与腿部遮挡关系不够清楚,pending-review
seated/marichyasana-c.png,high,扭转与手臂绑定关系需要对照原图,pending-review
seated/marichyasana-d.png,high,扭转与手臂绑定关系需要对照原图,pending-review
seated/kurmasana.png,high,手脚展开和前后遮挡关系需要核对,pending-review
seated/supta-kurmasana.png,high,交叉肢体关系不够清楚,pending-review
seated/supta-padangusthasana-01.png,high,原图曾有裁切，需重点核对手脚和抬腿关系,pending-review
seated/supta-padangusthasana-02.png,high,原图曾有裁切，需重点核对手脚和抬腿关系,pending-review
finishing/baddha-padmasana.png,high,双臂背后绑定和抓脚关系未准确表现,pending-review
finishing/yoga-mudra.png,medium,身体朝向和手臂位置需对照原图,pending-review
